DATAATUAL|CREDOR|TIPO DE COMUNICACAO|NUMERO DO PROCESSO|JUIZO|COMARCA|DATA DE ABERTURA DO PROCESSO|RECUPERANDA/FALIDA/INSOLVENTE|CNPJ|LOGRADOURO|NUMERO|BAIRRO|CIDADE|ESTADO|CEP|NATUREZA|VALOR|CLASSIFICACAO|REGISTRADO|CEP_CREDOR|LOGRADOURO_CREDOR|NUMERO_CREDOR|COMPLEMENTO_CREDOR|BAIRRO_CREDOR|CIDADE_CREDOR|ESTADO_CREDOR|ETIQUETA
04/07/2023|           CHICAGO PNEUMATIC BRASIL LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 10.161,50|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00036|06460121|AV. PIRAÍBA|202||CENTRO|Baruerí|SP|YA063637726BR
04/07/2023|COREMAL COMERCIO, DISTRIBUICAO, FABRICAC|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 205.018,76|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00041|06716580|EST DO CAPUAVA|1650||JARDIM ELIANE|Cotia|SP|YA063637730BR
04/07/2023|         TRANSPORTADORA RODOQUIMICA LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 5.000,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00132|07071070|AV DONA EUGENIA MACHADO DA SILVA|162||VILA GALVAO|Guarulhos|SP|YA063637743BR
04/07/2023|      TRANSAL TRANSPORTADORA SALVAN LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 323,49|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00130|07177120|TUA JOAO RAINIERI|619||BONSUCESSO|Guarulhos|SP|YA063637757BR
04/07/2023|                 METAL GRAFICA MOGI LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 91.431,91|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00085|08579000|ESTRADA DO BONSUCESSO|1933||RIO ABAIXO|Itaquaquecetuba|SP|YA063637765BR
04/07/2023|                INFAC SECURITIZADORA S A|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 744.007,98|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00067|08880130|RUA PRINCESA ISABEL|40||CENTRO|Criciúma|SC|YA063637774BR
04/07/2023|                CADAN TRANSPORTES EIRELI|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 25.239,85|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00031|09111340|RUA GIOVANNI BAATTISTA  PIRELLI|271||VILA HOMERO THON|Santo André|SP|YA063637788BR
04/07/2023|                JEGUEDE TRANSPORTES LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 1.000,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00073|09791020|R DOM FERNANDO MASCARENHAS|150||FERRAZOPOLIS|São Bernardo do Campo|SP|YA063637791BR
04/07/2023|        NARITA INDUSTRIA E COMERCIO LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 4.433,11|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00090|09840000|RUA PRIMEIRO DE MAIO|10||VILA VITORIA|São Bernardo do Campo|SP|YA063637805BR
04/07/2023|POLI RESINAS INDUSTRIA E COMERCIO DE RES|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 294.300,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00097|09852060|PART FUKUTARO YIDA|1310||COOPERATIVA|São Bernardo do Campo|SP|YA063637814BR
